"ticket_id","ticket_trace/contact"
322639,"348955-159312-322639, 0"
50,"50, 0"
142067,"38-32871-142067, 4"
93270,"93270, 3"
244207,"244207, 0"
480595,"480595, 2"
417916,"417916, 1"
323910,"323910, 4"
17,"17, 4"
406780,"406780, 1"
499255,"499255, 1"
453177,"453177, 0"
139764,"1485-139764, 4"
229592,"229592, 0"
364569,"364569, 0"
19563,"19563, 1"
51,"51, 1"
32871,"142067-32871, 0"
475371,"20375-23729-95806-475371, 2"
275580,"168137-275580, 2"
164913,"164913, 3"
171746,"171746, 2"
179281,"50840-179281, 2"
394326,"114882-394326, 2"
174248,"1534-34572-174248, 0"
486286,"13981-486286, 0"
298529,"9506-298529, 4"
357273,"206935-114641-357273, 3"
461215,"1576-461215, 1"
187301,"187301, 3"
214159,"214159, 3"
414959,"414959, 0"
366910,"366910, 3"
151123,"151123, 2"
416731,"195334-296648-410682-416731, 3"
383073,"151818-383073, 2"
279875,"279875, 4"
271911,"271911, 4"
462213,"272530-462213, 4"
413237,"11428-77764-163969-219245-224737-413237, 0"
51599,"51599, 1"
463050,"463050, 2"
198708,"223721-198708, 3"
356800,"116460-356800, 4"
466297,"466297, 2"
5597,"5597, 1"
178290,"178290, 2"
181236,"181236, 4"
413629,"409673-413629, 2"
303417,"215373-303417, 2"
471003,"388164-471003, 0"
355948,"355948, 0"
323184,"18056-323184, 0"
437059,"83681-177581-437059, 2"
116467,"116467, 0"
349627,"93061-349627, 1"
216113,"96409-216113, 1"
449222,"449222, 3"
429492,"429492, 1"
121941,"106690-121941, 0"
366341,"366341, 3"
217593,"34614-217593, 1"
445333,"445333, 0"
429441,"429441, 4"
108365,"69515-108365, 3"
216438,"216438, 0"
99896,"99896, 3"
410226,"217781-234084-365222-410226, 0"
298152,"298152, 1"
286693,"271214-286693, 2"
30279,"30279, 2"
359279,"359279, 1"
76417,"76417, 3"
485385,"81016-485385, 4"
88820,"88820, 4"
483377,"44305-483377, 1"
405439,"79377-405439, 1"
209740,"209740, 4"
29356,"29356, 0"
133089,"133089, 2"
459442,"459442, 1"
311652,"311652, 4"
483854,"483854, 1"
242675,"198810-242675, 1"
223401,"6268-223401, 4"
176299,"176299, 4"
13333,"13333, 1"
111412,"111412, 1"
437671,"437671, 1"
291979,"173505-291979, 4"
79361,"79361, 4"
205205,"4132-205205, 0"
359225,"150332-269570-359225, 1"
360906,"194903-360906, 0"
337149,"337149, 2"
372904,"354483-372904, 1"
307378,"307378, 1"
316869,"303253-316869, 0"
128312,"128312, 2"
487124,"487124, 1"
380008,"380008, 0"
163948,"163948, 3"
2787,"2787, 1"
301712,"91460-301712, 4"
817,"817, 1"
252674,"393542-252674, 3"
104845,"57523-104845, 3"
236443,"236443, 0"
272016,"272016, 3"
222589,"58285-222589, 4"
469710,"203968-327056-347654-469710, 4"
484879,"484879, 2"
165732,"34171-165732, 3"
141554,"141554, 1"
87237,"87237, 0"
236143,"236143, 4"
378121,"378121, 1"
168214,"168214, 1"
33469,"33469, 0"
386227,"386227, 0"
155428,"458207-155428, 0"
170587,"170587, 4"
158446,"41540-158446, 4"
328828,"184678-328828, 0"
42707,"42707, 3"
337064,"30407-337064, 1"
76487,"76487, 4"
416594,"318964-416594, 1"
25739,"25739, 2"
471352,"27758-338962-471352, 2"
461696,"461696, 4"
316414,"316414, 2"
443063,"357027-443063, 3"
158352,"158352, 0"
380046,"212081-380046, 1"
405957,"191908-279153-405957, 3"
321344,"200823-267604-321344, 2"
190603,"190603, 1"
190245,"190245, 3"
326298,"326298, 2"
267037,"267037, 2"
97617,"97617, 3"
31935,"2369-31935, 0"
461926,"461926, 4"
123556,"123556, 4"
434889,"434889, 4"
467081,"467081, 1"
1127,"1127, 3"
423761,"423761, 0"
326989,"2878-77480-326989, 2"
330989,"62954-330989, 0"
256206,"171494-256206, 0"
48930,"48930, 1"
2224,"2224, 3"
410105,"410105, 2"
431159,"431159, 3"
154388,"154388, 3"
22526,"22526, 3"
317161,"273540-317161, 3"
311774,"311774, 0"
168748,"168748, 2"
48332,"48332, 1"
495698,"495698, 4"
40292,"40292, 0"
182251,"182251, 0"
474329,"474329, 0"
380656,"81500-380656, 4"
355586,"355586, 1"
118442,"118442, 0"
270553,"111404-270553, 4"
319785,"319785, 4"
239664,"158341-239664, 1"
1514,"1514, 1"
97077,"97077, 1"
59225,"59225, 0"
335262,"335262, 0"
41012,"41012, 1"
249524,"249524, 4"
203920,"203920, 0"
313121,"313121, 0"
469004,"469004, 1"
172826,"172826, 3"
291558,"291558, 1"
409228,"409228, 3"
411281,"109945-213909-411281, 2"
494608,"494608, 1"
228844,"160906-228844, 4"
238067,"238067, 1"
416,"416, 1"
371598,"371598, 4"
296297,"296297, 3"
230455,"230455, 1"
489116,"353347-489116, 4"
354294,"187039-354294, 1"
468001,"468001, 4"
23104,"23104, 0"
180483,"180483, 3"
157932,"11943-157932, 4"
488273,"153835-484876-488273, 2"
463663,"84693-463663, 0"
289697,"289697, 3"
71980,"71980, 0"
412352,"412352, 1"
239451,"239451, 3"
227511,"227511, 3"
279759,"148438-279759, 1"
225568,"187898-225568, 1"
124631,"42039-118961-124631, 3"
114806,"114806, 0"
418207,"418207, 2"
158447,"158447, 1"
337781,"303576-337781, 4"
477672,"477672, 3"
491203,"491203, 4"
280037,"280037, 1"
154616,"154616, 4"
102021,"20159-102021, 1"
444498,"2408-99674-444498, 3"
89397,"89397, 4"
407060,"17374-407060, 1"
331003,"331003, 3"
396659,"396659, 1"
442357,"47700-442357, 1"
463753,"147951-463753, 4"
36117,"36117, 2"
37318,"37318, 0"
33109,"33109, 0"
20104,"20104, 3"
37425,"37425, 0"
314678,"1927-13912-314678, 4"
112268,"112268, 3"
117352,"117352, 2"
332991,"332991, 2"
395991,"359210-395991, 1"
447282,"447282, 2"
222908,"160787-222908, 2"
102257,"102257, 1"
235070,"235070, 0"
446441,"193388-446441, 4"
323356,"323356, 0"
411153,"375311-411153, 0"
22455,"5741-22455, 2"
314173,"314173, 4"
438463,"86872-388949-438463, 0"
157448,"157448, 1"
159196,"159196, 4"
350000,"313193-338161-350000, 2"
127177,"127177, 4"
141929,"141929, 3"
374447,"374447, 0"
41473,"41473, 1"
392235,"392235, 0"
60670,"60670, 2"
191670,"191670, 2"
190545,"190545, 4"
174724,"20781-174724, 1"
346427,"346427, 3"
188228,"188228, 2"
434667,"434667, 2"
289232,"289232, 0"
467155,"467155, 2"
372323,"285274-161035-372323, 4"
209133,"209133, 1"
448567,"448567, 1"
418280,"151737-418280, 4"
276217,"145035-276217, 4"
271971,"271971, 3"
429313,"429313, 4"
404051,"404051, 3"
493102,"420800-493102, 4"
402455,"402455, 4"
152814,"55549-152814, 4"
181541,"181541, 0"
495924,"206101-239171-495924, 3"
359402,"1604-359402, 3"
178994,"178994, 1"
26943,"26943, 0"
484124,"14176-379370-484124, 4"
167193,"167193, 0"
263288,"263288, 0"
36763,"36763, 4"
248397,"248397, 0"
162407,"162407, 4"
160938,"160938, 1"
51845,"850-51845, 3"
190564,"190564, 4"
252769,"252769, 3"
489868,"3291-489868, 4"
371250,"200917-371250, 2"
495350,"292433-413290-495350, 0"
321785,"321785, 4"
451034,"27743-117686-451034, 2"
447379,"447379, 0"
266855,"266855, 0"
343978,"343978, 4"
218817,"115513-218817, 0"
95331,"95331, 2"
261099,"261099, 0"
15568,"15568, 1"
167525,"259784-167525, 2"
295197,"90011-295197, 4"
306360,"306360, 4"
28339,"28339, 1"
158229,"158229, 4"
356634,"356634, 2"
267012,"106085-267012, 3"
395886,"34194-70484-180896-395886, 1"
338672,"338672, 4"
335261,"335261, 4"
5410,"5410, 4"
227309,"227309, 3"
491028,"491028, 2"
141892,"141892, 2"
175015,"52574-175015, 0"
203549,"203549, 2"
222027,"222027, 4"
265652,"10373-16584-265652, 1"
216954,"216954, 4"
131466,"131466, 0"
238610,"238610, 4"
330172,"17884-330172, 1"
403088,"5637-403088, 3"
372761,"372761, 4"
153127,"153127, 2"
252689,"27809-252223-252689, 2"
256442,"256442, 0"
472010,"355912-472010, 1"
449538,"449538, 1"
177009,"7594-177009, 0"
346355,"217805-42490-346355, 4"
130103,"108298-130103, 0"
63502,"63502, 1"
215086,"68664-215086, 0"
442589,"43889-252379-442589, 4"
212705,"212705, 1"
380426,"103153-305282-380426, 2"
445891,"445891, 1"
288380,"5334-288380, 1"
398495,"398495, 0"
248099,"131240-158351-248099, 3"
157814,"157814, 1"
204700,"7909-204700, 4"
320888,"320888, 3"
81422,"58988-81422, 2"
438365,"119049-438365, 0"
147803,"147803, 1"
127241,"127241, 3"
77876,"77876, 2"
360894,"360894, 0"
492867,"27216-128736-222544-492867, 2"
256524,"256524, 4"
146883,"146883, 2"
474176,"474176, 2"
123490,"123490, 1"
264346,"74473-96122-264346, 0"
490520,"327983-490520, 3"
266319,"25521-181428-194039-266319, 1"
472091,"472091, 0"
96288,"96288, 0"
47120,"47120, 3"
498354,"498354, 4"
423817,"141256-268565-423817, 1"
2291,"2291, 0"
459469,"32208-459469, 1"
90008,"90008, 1"
30652,"30652, 1"
319128,"157003-319128, 3"
204704,"204704, 2"
401705,"67996-401705, 1"
14462,"14462, 1"
30266,"30266, 3"
42101,"5124-42101, 4"
240731,"240731, 0"
464240,"50391-119385-464240, 3"
1567,"1567, 3"
398582,"186714-398582, 0"
204492,"204492, 0"
2014,"2014, 0"
389282,"118380-219899-389282, 1"
303473,"188298-303473, 2"
240171,"240171, 4"
26569,"26569, 3"
418458,"246935-418458, 0"
371751,"371751, 3"
278441,"140429-278441, 0"
216973,"216973, 1"
493002,"493002, 4"
476943,"29966-11233-102688-226857-380736-476943, 0"
114507,"114507, 4"
186022,"186022, 2"
408904,"408904, 4"
398026,"2238-392413-398026, 3"
96951,"96951, 1"
466426,"466426, 4"
168359,"168359, 3"
3168,"3168, 1"
3726,"3726, 1"
299473,"299473, 2"
407929,"258790-271959-407929, 3"
2395,"2395, 1"
289400,"266798-289400, 1"
107808,"107808, 0"
426090,"426090, 0"
191409,"191409, 0"
287910,"287910, 3"
